iter	Passed	Remaining
0	1	168
1	2	133
2	3	118
3	4	103
4	5	97
5	5	93
6	6	90
7	7	88
8	8	87
9	9	85
10	10	84
11	11	83
12	12	82
13	13	82
14	14	82
15	15	81
16	16	80
17	17	78
18	18	77
19	18	75
20	19	74
21	20	72
22	21	71
23	22	70
24	23	69
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	63
31	29	62
32	30	62
33	31	61
34	32	60
35	33	60
36	34	59
37	36	58
38	37	58
39	38	57
40	38	55
41	39	54
42	40	53
43	40	52
44	42	51
45	43	50
46	44	49
47	45	48
48	46	47
49	46	46
50	47	46
51	48	45
52	49	44
53	50	43
54	51	41
55	52	40
56	52	39
57	53	38
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	93	0
